ID	Day	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
D0.01	0	D0-01	DNA	D0(1.0kPa+N)	D0(1.0kPa+N)	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA		Urea_1.0kPa			1
D0.02	0	D0-02	DNA	D0(1.0kPa+N)	D0(1.0kPa+N)	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA			Urea_1.0kPa		1
D0.03	0	D0-03	DNA	D0(1.0kPa+N)	D0(1.0kPa+N)	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA				Urea_1.0kPa	1
D0.05	0	D0-05	DNA	D0(10kPa+N)	D0(10kPa+N)	0	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA		Urea_10kPa			1
D0.07	0	D0-07	DNA	D0(10kPa+N)	D0(10kPa+N)	0	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA			Urea_10kPa		1
D0.08	0	D0-08	DNA	D0(10kPa+N)	D0(10kPa+N)	0	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA				Urea_10kPa	1
D0.09	0	D0-09	DNA	D0(1.0kPa-N)	D0(1.0kPa-N)	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA		No_Urea_1.0kPa			1
D0.10	0	D0-10	DNA	D0(1.0kPa-N)	D0(1.0kPa-N)	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA			No_Urea_1.0kPa		1
D0.11	0	D0-11	DNA	D0(1.0kPa-N)	D0(1.0kPa-N)	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA				No_Urea_1.0kPa	1
D0.13	0	D0-13	DNA	D0(10kPa-N)	D0(10kPa-N)	0	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA		No_Urea_10kPa			1
D0.14	0	D0-14	DNA	D0(10kPa-N)	D0(10kPa-N)	0	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA			No_Urea_10kPa		1
D0.15	0	D0-15	DNA	D0(10kPa-N)	D0(10kPa-N)	0	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA				No_Urea_10kPa	1
D7.01	07	D7-01	DNA	D7(1.0kPa+N)	D7(1.0kPa+N)	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA		Urea_1.0kPa			2
D7.02	07	D7-02	DNA	D7(1.0kPa+N)	D7(1.0kPa+N)	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM		Urea_1.0kPa		2
D7.03	07	D7-03	DNA	D7(1.0kPa+N)	D7(1.0kPa+N)	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM			Urea_1.0kPa	2
D7.08	07	D7-08	DNA	D7(10kPa+N)	D7(10kPa+N)	7	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	Urea_10kPa	Urea_10kPa	Urea_10kPa	2
